"","X","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"13680",13680,36,0.710659898477157,0.721649484536082,0.71611253196931,197,0.007,0.007,3,1
"13681",13681,37,0.775,0.639175257731959,0.700564971751412,160,0.007,0.007,3,1
"13682",13682,38,0.63855421686747,0.819587628865979,0.71783295711061,249,0.007,0.007,3,1
"13683",13683,39,0.735751295336788,0.731958762886598,0.733850129198966,193,0.007,0.007,3,1
"13684",13684,40,0.666666666666667,0.762886597938144,0.711538461538462,222,0.007,0.007,3,1
"13685",13685,41,0.727699530516432,0.798969072164949,0.761670761670762,213,0.007,0.007,3,1
"13686",13686,42,0.73404255319149,0.711340206185567,0.722513089005236,188,0.007,0.007,3,1
"13687",13687,43,0.691244239631336,0.77319587628866,0.72992700729927,217,0.007,0.007,3,1
"13688",13688,44,0.633466135458167,0.819587628865979,0.714606741573034,251,0.007,0.007,3,1
"13689",13689,45,0.624489795918367,0.788659793814433,0.697038724373576,245,0.007,0.007,3,1
"13690",13690,46,0.642570281124498,0.824742268041237,0.72234762979684,249,0.007,0.007,3,1
"13691",13691,47,0.732984293193717,0.721649484536082,0.727272727272727,191,0.007,0.007,3,1
"13692",13692,48,0.669950738916256,0.701030927835051,0.685138539042821,203,0.007,0.007,3,1
"13693",13693,49,0.673913043478261,0.798969072164949,0.731132075471698,230,0.007,0.007,3,1
"13694",13694,50,0.633962264150943,0.865979381443299,0.73202614379085,265,0.007,0.007,3,1
"13695",13695,51,0.706161137440758,0.768041237113402,0.735802469135802,211,0.007,0.007,3,1
"13696",13696,52,0.668161434977579,0.768041237113402,0.71462829736211,223,0.007,0.007,3,1
"13697",13697,53,0.675324675324675,0.804123711340206,0.734117647058823,231,0.007,0.007,3,1
"13698",13698,54,0.685185185185185,0.762886597938144,0.721951219512195,216,0.007,0.007,3,1
"13699",13699,55,0.817073170731707,0.690721649484536,0.748603351955307,164,0.007,0.007,3,1
"13700",13700,56,0.694736842105263,0.680412371134021,0.6875,190,0.007,0.007,3,1
"13701",13701,57,0.693121693121693,0.675257731958763,0.684073107049608,189,0.007,0.007,3,1
"13702",13702,58,0.676470588235294,0.829896907216495,0.745370370370371,238,0.007,0.007,3,1
"13703",13703,59,0.662222222222222,0.768041237113402,0.711217183770883,225,0.007,0.007,3,1
"13704",13704,60,0.739583333333333,0.731958762886598,0.735751295336788,192,0.007,0.007,3,1
"13705",13705,61,0.779661016949153,0.711340206185567,0.743935309973046,177,0.007,0.007,3,1
"13706",13706,62,0.703349282296651,0.757731958762887,0.729528535980149,209,0.007,0.007,3,1
"13707",13707,63,0.736842105263158,0.649484536082474,0.69041095890411,171,0.007,0.007,3,1
"13708",13708,64,0.82051282051282,0.65979381443299,0.731428571428571,156,0.007,0.007,3,1
"13709",13709,65,0.759124087591241,0.536082474226804,0.628398791540786,137,0.007,0.007,3,1
"13710",13710,66,0.819548872180451,0.561855670103093,0.666666666666667,133,0.007,0.007,3,1
"13711",13711,67,0.699530516431925,0.768041237113402,0.732186732186732,213,0.007,0.007,3,1
"13712",13712,68,0.640167364016736,0.788659793814433,0.706697459584296,239,0.007,0.007,3,1
"13713",13713,69,0.81203007518797,0.556701030927835,0.660550458715596,133,0.007,0.007,3,1
"13714",13714,70,0.672413793103448,0.804123711340206,0.732394366197183,232,0.007,0.007,3,1
"13715",13715,71,0.65296803652968,0.737113402061856,0.692493946731235,219,0.007,0.007,3,1
"13716",13716,72,0.680203045685279,0.690721649484536,0.68542199488491,197,0.007,0.007,3,1
"13717",13717,73,0.835616438356164,0.628865979381443,0.71764705882353,146,0.007,0.007,3,1
"13718",13718,74,0.69047619047619,0.747422680412371,0.717821782178218,210,0.007,0.007,3,1
"13719",13719,75,0.700980392156863,0.737113402061856,0.718592964824121,204,0.007,0.007,3,1
"13720",13720,76,0.701421800947867,0.762886597938144,0.730864197530864,211,0.007,0.007,3,1
"13721",13721,77,0.628458498023715,0.819587628865979,0.711409395973154,253,0.007,0.007,3,1
"13722",13722,78,0.691964285714286,0.798969072164949,0.741626794258373,224,0.007,0.007,3,1
"13723",13723,79,0.756906077348066,0.70618556701031,0.730666666666667,181,0.007,0.007,3,1
"13724",13724,80,0.692307692307692,0.788659793814433,0.737349397590361,221,0.007,0.007,3,1
"13725",13725,81,0.688073394495413,0.77319587628866,0.728155339805825,218,0.007,0.007,3,1
"13726",13726,82,0.699074074074074,0.778350515463918,0.736585365853659,216,0.007,0.007,3,1
"13727",13727,83,0.716577540106952,0.690721649484536,0.703412073490814,187,0.007,0.007,3,1
"13728",13728,84,0.682692307692308,0.731958762886598,0.706467661691542,208,0.007,0.007,3,1
"13729",13729,85,0.819672131147541,0.515463917525773,0.632911392405063,122,0.007,0.007,3,1
"13730",13730,86,0.734806629834254,0.685567010309278,0.709333333333333,181,0.007,0.007,3,1
"13731",13731,87,0.668269230769231,0.716494845360825,0.691542288557214,208,0.007,0.007,3,1
"13732",13732,88,0.660944206008584,0.79381443298969,0.721311475409836,233,0.007,0.007,3,1
"13733",13733,89,0.741758241758242,0.695876288659794,0.718085106382979,182,0.007,0.007,3,1
"13734",13734,90,0.736842105263158,0.721649484536082,0.729166666666667,190,0.007,0.007,3,1
"13735",13735,91,0.8,0.65979381443299,0.72316384180791,160,0.007,0.007,3,1
"13736",13736,92,0.712264150943396,0.778350515463918,0.74384236453202,212,0.007,0.007,3,1
"13737",13737,93,0.746411483253589,0.804123711340206,0.774193548387097,209,0.007,0.007,3,1
"13738",13738,94,0.62962962962963,0.788659793814433,0.700228832951945,243,0.007,0.007,3,1
"13739",13739,95,0.69811320754717,0.762886597938144,0.729064039408867,212,0.007,0.007,3,1
"13740",13740,96,0.691860465116279,0.61340206185567,0.650273224043716,172,0.007,0.007,3,1
"13741",13741,97,0.791139240506329,0.644329896907217,0.710227272727273,158,0.007,0.007,3,1
