"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"10003",0.8,0.0842105263157895,0.152380952380952,20,7,9,"(0.6,0.8]"
"10004",0.80952380952381,0.0894736842105263,0.161137440758294,21,7,9,"(0.6,0.8]"
"10005",0.846153846153846,0.0578947368421053,0.108374384236453,13,7,9,"(0.6,0.8]"
"10006",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10007",0.8,0.0421052631578947,0.08,10,7,9,"(0.6,0.8]"
"10008",1,0.0631578947368421,0.118811881188119,12,7,9,"(0.6,0.8]"
"10009",1,0.0526315789473684,0.1,10,7,9,"(0.6,0.8]"
"10010",0.75,0.0315789473684211,0.0606060606060606,8,7,9,"(0.6,0.8]"
"10011",0.833333333333333,0.0263157894736842,0.0510204081632653,6,7,9,"(0.6,0.8]"
"10012",0.916666666666667,0.0578947368421053,0.108910891089109,12,7,9,"(0.6,0.8]"
"10013",0.928571428571429,0.068421052631579,0.127450980392157,14,7,9,"(0.6,0.8]"
"10014",1,0.0421052631578947,0.0808080808080808,8,7,9,"(0.6,0.8]"
"10015",0.857142857142857,0.0315789473684211,0.0609137055837563,7,7,9,"(0.6,0.8]"
"10016",0.736842105263158,0.0736842105263158,0.133971291866029,19,7,9,"(0.6,0.8]"
"10017",1,0.068421052631579,0.128078817733990,13,7,9,"(0.6,0.8]"
"10018",0.894736842105263,0.0894736842105263,0.162679425837321,19,7,9,"(0.6,0.8]"
"10019",0.857142857142857,0.0947368421052632,0.170616113744076,21,7,9,"(0.6,0.8]"
"10020",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
"10021",0.9,0.142105263157895,0.245454545454545,30,7,9,"(0.6,0.8]"
"10022",1,0.068421052631579,0.128078817733990,13,7,9,"(0.6,0.8]"
"10023",0.928571428571429,0.068421052631579,0.127450980392157,14,7,9,"(0.6,0.8]"
"10024",0.75,0.0473684210526316,0.0891089108910891,12,7,9,"(0.6,0.8]"
"10025",1,0.0578947368421053,0.109452736318408,11,7,9,"(0.6,0.8]"
"10026",0.875,0.0368421052631579,0.0707070707070707,8,7,9,"(0.6,0.8]"
"10027",0.888888888888889,0.0421052631578947,0.0804020100502512,9,7,9,"(0.6,0.8]"
