"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"9205",9205,0.965116279069767,0.907103825136612,0.935211267605634,172,1,2,0.01,0.007
"9206",9206,0.985714285714286,0.754098360655738,0.854489164086687,140,1,2,0.01,0.007
"9207",9207,0.96951219512195,0.868852459016393,0.9164265129683,164,1,2,0.01,0.007
"9208",9208,0.982608695652174,0.617486338797814,0.758389261744966,115,1,2,0.01,0.007
"9209",9209,0.929577464788732,0.721311475409836,0.812307692307692,142,1,2,0.01,0.007
"9210",9210,0.952380952380952,0.765027322404372,0.848484848484849,147,1,2,0.01,0.007
"9211",9211,0.970059880239521,0.885245901639344,0.925714285714286,167,1,2,0.01,0.007
"9212",9212,0.92814371257485,0.846994535519126,0.885714285714286,167,1,2,0.01,0.007
"9213",9213,0.948529411764706,0.704918032786885,0.808777429467085,136,1,2,0.01,0.007
"9214",9214,0.924657534246575,0.737704918032787,0.820668693009119,146,1,2,0.01,0.007
"9215",9215,0.926553672316384,0.896174863387978,0.911111111111111,177,1,2,0.01,0.007
"9216",9216,0.93103448275862,0.737704918032787,0.823170731707317,145,1,2,0.01,0.007
"9217",9217,0.982905982905983,0.628415300546448,0.766666666666667,117,1,2,0.01,0.007
"9218",9218,0.969135802469136,0.85792349726776,0.910144927536232,162,1,2,0.01,0.007
"9219",9219,0.950704225352113,0.737704918032787,0.83076923076923,142,1,2,0.01,0.007
"9220",9220,0.957446808510638,0.737704918032787,0.833333333333333,141,1,2,0.01,0.007
"9221",9221,0.974025974025974,0.819672131147541,0.890207715133531,154,1,2,0.01,0.007
"9222",9222,0.935294117647059,0.868852459016393,0.90084985835694,170,1,2,0.01,0.007
"9223",9223,0.924657534246575,0.737704918032787,0.820668693009119,146,1,2,0.01,0.007
"9224",9224,0.922077922077922,0.775956284153005,0.84272997032641,154,1,2,0.01,0.007
"9225",9225,0.962025316455696,0.830601092896175,0.89149560117302,158,1,2,0.01,0.007
"9226",9226,0.945205479452055,0.754098360655738,0.838905775075988,146,1,2,0.01,0.007
"9227",9227,0.925675675675676,0.748633879781421,0.827794561933535,148,1,2,0.01,0.007
"9228",9228,0.955555555555556,0.704918032786885,0.81132075471698,135,1,2,0.01,0.007
"9229",9229,0.969465648854962,0.693989071038251,0.808917197452229,131,1,2,0.01,0.007
"9230",9230,0.929936305732484,0.797814207650273,0.858823529411765,157,1,2,0.01,0.007
"9231",9231,0.962406015037594,0.699453551912568,0.810126582278481,133,1,2,0.01,0.007
"9232",9232,0.975460122699387,0.868852459016393,0.91907514450867,163,1,2,0.01,0.007
"9233",9233,0.964788732394366,0.748633879781421,0.843076923076923,142,1,2,0.01,0.007
"9234",9234,0.954887218045113,0.693989071038251,0.80379746835443,133,1,2,0.01,0.007
"9235",9235,0.974025974025974,0.819672131147541,0.890207715133531,154,1,2,0.01,0.007
"9236",9236,0.936781609195402,0.890710382513661,0.913165266106443,174,1,2,0.01,0.007
"9237",9237,0.973154362416107,0.792349726775956,0.873493975903614,149,1,2,0.01,0.007
"9238",9238,0.943548387096774,0.639344262295082,0.762214983713355,124,1,2,0.01,0.007
"9239",9239,0.953020134228188,0.775956284153005,0.855421686746988,149,1,2,0.01,0.007
"9240",9240,0.932584269662921,0.907103825136612,0.9196675900277,178,1,2,0.01,0.007
"9241",9241,0.967741935483871,0.655737704918033,0.781758957654723,124,1,2,0.01,0.007
"9242",9242,0.912162162162162,0.737704918032787,0.81570996978852,148,1,2,0.01,0.007
"9243",9243,0.9,0.098360655737705,0.177339901477832,20,1,2,0.01,0.007
"9244",9244,0.966666666666667,0.633879781420765,0.765676567656766,120,1,2,0.01,0.007
"9245",9245,0.932203389830508,0.901639344262295,0.916666666666667,177,1,2,0.01,0.007
"9246",9246,0.94904458598726,0.814207650273224,0.876470588235294,157,1,2,0.01,0.007
"9247",9247,0.961538461538462,0.819672131147541,0.88495575221239,156,1,2,0.01,0.007
"9248",9248,0.95890410958904,0.765027322404372,0.851063829787234,146,1,2,0.01,0.007
"9249",9249,0.95364238410596,0.78688524590164,0.862275449101796,151,1,2,0.01,0.007
"9250",9250,0.925675675675676,0.748633879781421,0.827794561933535,148,1,2,0.01,0.007
"9251",9251,0.968992248062015,0.683060109289617,0.801282051282051,129,1,2,0.01,0.007
"9252",9252,0.970238095238095,0.890710382513661,0.928774928774929,168,1,2,0.01,0.007
"9253",9253,0.947368421052632,0.885245901639344,0.915254237288136,171,1,2,0.01,0.007
"4868",4868,0.927374301675978,0.907103825136612,0.917127071823205,179,1,3,0.01,0.005
"4869",4869,0.96969696969697,0.87431693989071,0.919540229885057,165,1,3,0.01,0.005
"4870",4870,0.912280701754386,0.852459016393443,0.88135593220339,171,1,3,0.01,0.005
