lon,lat,status,iteration,instance,assignID,parentID
-72.2564926872413,18.5572787030956,2,2,117,225,223
-72.2569057474296,18.5571693648036,2,2,117,225,223
-72.2566402087372,18.5569735728033,2,2,117,225,223
-72.2561574111145,18.556915089435,2,2,117,225,223
-72.2569942603271,18.5568159219386,2,2,117,225,223
-72.2569003830116,18.5565921591709,2,2,117,225,223
-72.2567770013969,18.5565057052957,2,2,117,225,223
-72.2564175853889,18.5564039947983,2,2,117,225,223
-72.2568789253395,18.5562793993563,2,2,117,225,223
-72.2560447583359,18.5561624321239,2,2,117,225,223
-72.2552588710945,18.5566303005725,2,2,117,225,223
-72.2549021372955,18.5563455112348,2,2,117,225,223
-72.2549450526398,18.5569481452543,2,2,117,225,223
-72.2569137940567,18.5558572998361,2,2,117,225,223
-72.2566321621101,18.5556742202015,2,2,117,225,223
-72.2567206750076,18.55548351204,2,2,117,225,223
-72.2562807927292,18.5554682553779,2,2,117,225,223
-72.2563237080734,18.5557454178605,2,2,117,225,223
-72.2564014921348,18.5558750992345,2,2,117,225,223
-72.2561976442497,18.5558039016296,2,2,117,225,223
-72.2555029521149,18.5560912346389,2,2,117,225,223
-72.2553902993362,18.5558674709211,2,2,117,225,223
-72.2554224858444,18.5557149045817,2,2,117,225,223
-72.2551113495987,18.5555419958989,2,2,117,225,223
-72.2553661594551,18.5554809692631,2,2,117,225,223
-72.2550818452995,18.555986981125,2,2,117,225,223
-72.2547707090538,18.5558395004358,2,2,117,225,223
-72.2537326761963,18.5574897512285,2,2,117,225,223
-72.2537863203766,18.5572634465939,2,2,117,225,223
-72.2528985091927,18.55733464359,2,2,117,225,223
-72.2533276626351,18.5566938695562,2,2,117,225,223
-72.2535261461022,18.5565616460435,2,2,117,225,223
