"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"13882",13882,0.942528735632184,0.392344497607655,0.554054054054054,174,1,2,0.01,0.01
"13883",13883,0.888888888888889,0.555023923444976,0.683357879234168,261,1,2,0.01,0.01
"13884",13884,0.829850746268657,0.665071770334928,0.738379814077025,335,1,2,0.01,0.01
"13885",13885,0.840136054421769,0.590909090909091,0.693820224719101,294,1,2,0.01,0.01
"13886",13886,0.878048780487805,0.602870813397129,0.714893617021277,287,1,2,0.01,0.01
"13887",13887,0.810408921933085,0.521531100478469,0.634643377001456,269,1,2,0.01,0.01
"13888",13888,0.936,0.279904306220096,0.430939226519337,125,1,2,0.01,0.01
"13889",13889,0.833836858006042,0.660287081339713,0.7369826435247,331,1,2,0.01,0.01
"13890",13890,0.769430051813471,0.710526315789474,0.738805970149254,386,1,2,0.01,0.01
"13891",13891,0.142857142857143,0.00239234449760766,0.00470588235294118,7,1,2,0.01,0.01
"13892",13892,0.911111111111111,0.490430622009569,0.637636080870917,225,1,2,0.01,0.01
"13893",13893,0.765714285714286,0.641148325358852,0.697916666666667,350,1,2,0.01,0.01
"13894",13894,0.901477832512315,0.437799043062201,0.589371980676328,203,1,2,0.01,0.01
"13895",13895,0.915611814345992,0.519138755980861,0.662595419847328,237,1,2,0.01,0.01
"13896",13896,0.858695652173913,0.566985645933014,0.68299711815562,276,1,2,0.01,0.01
"13897",13897,0.869565217391304,0.526315789473684,0.655737704918033,253,1,2,0.01,0.01
"14048",14048,0.852272727272727,0.538277511961722,0.659824046920821,264,1,3,0.01,0.01
"14049",14049,0.590909090909091,0.062200956937799,0.112554112554113,44,1,3,0.01,0.01
"14050",14050,0.798701298701299,0.588516746411483,0.677685950413223,308,1,3,0.01,0.01
"14051",14051,0.761904761904762,0.535885167464115,0.629213483146067,294,1,3,0.01,0.01
"14052",14052,0.820375335120643,0.732057416267943,0.77370417193426,373,1,3,0.01,0.01
"14053",14053,0.709677419354839,0.263157894736842,0.383944153577661,155,1,3,0.01,0.01
"14054",14054,0.866013071895425,0.633971291866029,0.732044198895028,306,1,3,0.01,0.01
"14055",14055,0.804597701149425,0.502392344497608,0.618556701030928,261,1,3,0.01,0.01
"14056",14056,0.879120879120879,0.574162679425837,0.694645441389291,273,1,3,0.01,0.01
"14057",14057,0.963855421686747,0.382775119617225,0.547945205479452,166,1,3,0.01,0.01
"14058",14058,0.923566878980892,0.34688995215311,0.504347826086956,157,1,3,0.01,0.01
"14059",14059,0.85357142857143,0.57177033492823,0.684813753581662,280,1,3,0.01,0.01
"14060",14060,0.916666666666667,0.157894736842105,0.269387755102041,72,1,3,0.01,0.01
"14061",14061,0.69069069069069,0.550239234449761,0.612516644474035,333,1,3,0.01,0.01
"14062",14062,0.852564102564103,0.636363636363636,0.728767123287671,312,1,3,0.01,0.01
"14063",14063,0.850162866449511,0.624401913875598,0.72,307,1,3,0.01,0.01
"14064",14064,0.728613569321534,0.590909090909091,0.652575957727873,339,1,3,0.01,0.01
"14065",14065,0.887179487179487,0.413875598086124,0.564437194127243,195,1,3,0.01,0.01
"14066",14066,0.75623268698061,0.65311004784689,0.700898587933248,361,1,3,0.01,0.01
"14067",14067,0.824773413897281,0.65311004784689,0.728971962616822,331,1,3,0.01,0.01
"14068",14068,0.866425992779783,0.574162679425837,0.690647482014388,277,1,3,0.01,0.01
"14069",14069,0.705882352941177,0.114832535885167,0.197530864197531,68,1,3,0.01,0.01
"14070",14070,0.809768637532134,0.753588516746411,0.780669144981413,389,1,3,0.01,0.01
"14071",14071,0.851612903225806,0.631578947368421,0.725274725274725,310,1,3,0.01,0.01
"14072",14072,0.759259259259259,0.686602870813397,0.721105527638191,378,1,3,0.01,0.01
"14073",14073,0.785977859778598,0.509569377990431,0.618287373004354,271,1,3,0.01,0.01
"14074",14074,0.8134110787172,0.667464114832536,0.733245729303548,343,1,3,0.01,0.01
"14075",14075,0.902654867256637,0.488038277511962,0.633540372670807,226,1,3,0.01,0.01
